litv影視,#genre#
629木偶的季節,https://www.litv.tv/channel/watch/litv-vchannel629
660新妒海,https://www.litv.tv/channel/watch/litv-vchannel660
661你是我的氧氣,https://www.litv.tv/channel/watch/litv-vchannel661
700黃金歲月,https://www.litv.tv/channel/watch/litv-vchannel700
703艋舺燿輝,https://www.litv.tv/channel/watch/litv-vchannel703
704多情城市,https://www.litv.tv/channel/watch/litv-vchannel704
705新兵日記之特戰英雄,https://www.litv.tv/channel/watch/litv-vchannel705
706新兵日記,https://www.litv.tv/channel/watch/litv-vchannel706
707女兵日記,https://www.litv.tv/channel/watch/litv-vchannel707
716就想賴著妳,https://www.litv.tv/channel/watch/litv-vchannel716
721台灣靈異事件,https://www.litv.tv/channel/watch/litv-vchannel721
722藍色水玲瓏,https://www.litv.tv/channel/watch/litv-vchannel722
725苦力,https://www.litv.tv/channel/watch/litv-vchannel725
726茶金,https://www.litv.tv/channel/watch/litv-vchannel726
727麻醉風暴,https://www.litv.tv/channel/watch/litv-vchannel727
729四樓的天堂,https://www.litv.tv/channel/watch/litv-vchannel729
730你的婚姻不是你的婚姻,https://www.litv.tv/channel/watch/litv-vchannel730
731你的孩子不是你的孩子,https://www.litv.tv/channel/watch/litv-vchannel731
743廉政英雄,https://www.litv.tv/channel/watch/litv-vchannel743
764春天後母心,https://www.litv.tv/channel/watch/litv-vchannel764
765春天父母心,https://www.litv.tv/channel/watch/litv-vchannel765
766飛龍在天,https://www.litv.tv/channel/watch/litv-vchannel766
800黑金丑島君,https://www.litv.tv/channel/watch/litv-vchannel800
801雙面姊妹,https://www.litv.tv/channel/watch/litv-vchannel801
802擅入寄居者,https://www.litv.tv/channel/watch/litv-vchannel802
803獨活女子的守則 3,https://www.litv.tv/channel/watch/litv-vchannel803
804Black familia-新堂家的復仇,https://www.litv.tv/channel/watch/litv-vchannel804
805禁果-那個不能XX的世界,https://www.litv.tv/channel/watch/litv-vchannel805
861(測)Focus歡樂綜合台,https://www.litv.tv/channel/watch/litv-fast1223
862(測)Focus風采戲劇台,https://www.litv.tv/channel/watch/litv-fast1224
